name;id;x;y;z;force_e;force_t;force_r;electro_e;electro_t;electro_r;thermo_e;thermo_t;thermo_r;s1;s2;s3
Wheel front axle ;1;0;1300;0;0,633333333;1;0,633333333;0,2;1;0,2;0,8;1;0,8;TRUE;TRUE;TRUE
Hub front axle ;2;0;1100;0;0,8;1;0,8;0,2;1;0,2;0,8;1;0,8;TRUE;TRUE;TRUE
Steering knuckle front axle;3;-100;1100;-100;0,2;1;0,2;0,2;1;0,2;0,2;1;0,2;TRUE;TRUE;TRUE
Knuckle arm front axle ;4;-300;1000;-150;0,2;1;0,2;0,2;1;0,2;0,2;1;0,2;TRUE;TRUE;TRUE
Frame front axle ;5;-100;800;-100;0,7;1;0,7;0,2;1;0,2;0,2;1;0,2;TRUE;TRUE;TRUE
Tie rod front axle;6;-300;800;0;0,2;1;0,2;0,2;1;0,2;0,2;1;0,2;TRUE;TRUE;TRUE
Angle sensor front axle;7;-100;0;0;0,2;1;0,2;0,633333333;1;0,633333333;0,533333333;1;0,533333333;TRUE;TRUE;TRUE
Speedometer;8;-100;300;1500;0,2;1;0,2;0,633333333;1;0,633333333;0,533333333;1;0,533333333;TRUE;TRUE;TRUE
ECU;9;0;300;1500;0,2;1;0,2;0,7;1;0,7;0,633333333;1;0,633333333;TRUE;TRUE;TRUE
Engine ;10;400;0;300;0,866666667;1;0,866666667;0,566666667;1;0,566666667;0,7;1;0,7;FALSE;TRUE;TRUE
Hydraulic oil reservoir;11;500;900;100;0,7;1;0,7;0,2;1;0,2;0,466666667;1;0,466666667;TRUE;TRUE;FALSE
Steering actuation cylinder front axle ;12;500;400;100;0,633333333;1;0,633333333;0,2;1;0,2;0,466666667;1;0,466666667;TRUE;TRUE;FALSE
Servo valve front axle ;13;300;400;100;0,7;1;0,7;0,566666667;1;0,566666667;0,6;1;0,6;TRUE;TRUE;FALSE
Pump front axle ;14;300;700;100;0,633333333;1;0,633333333;0,5;1;0,5;0,6;1;0,6;TRUE;TRUE;FALSE
Filter front axle ;15;300;900;100;0,466666667;1;0,466666667;0,2;1;0,2;0,2;1;0,2;TRUE;TRUE;FALSE
Cooler front axle ;16;700;700;100;0,466666667;1;0,466666667;0,2;1;0,2;0,533333333;1;0,533333333;TRUE;TRUE;FALSE
Steering actuation cylinder second axle ;17;-4600;400;100;0,633333333;1;0,633333333;0,2;1;0,2;0,466666667;1;0,466666667;FALSE;TRUE;FALSE
Servo valve second axle ;18;-4800;400;100;0,7;1;0,7;0,566666667;1;0,566666667;0,6;1;0,6;FALSE;TRUE;FALSE
Pump second axle ;19;-4800;700;100;0,633333333;1;0,633333333;0,5;1;0,5;0,6;1;0,6;FALSE;TRUE;FALSE
Filter second axle ;20;-4800;900;100;0,2;1;0,2;0,2;1;0,2;0,2;1;0,2;FALSE;TRUE;FALSE
Cooler second axle ;21;-4400;700;100;0,2;1;0,2;0,2;1;0,2;0,533333333;1;0,533333333;FALSE;TRUE;FALSE
Wheel second axle ;22;-5100;1300;0;0,633333333;1;0,633333333;0,2;1;0,2;0,8;1;0,8;FALSE;TRUE;TRUE
Hub second axle ;23;-5100;1100;0;0,8;1;0,8;0,2;1;0,2;0,8;1;0,8;FALSE;TRUE;TRUE
Steering knuckle second axle;24;-5200;1100;-100;0,2;1;0,2;0,2;1;0,2;0,2;1;0,2;FALSE;TRUE;TRUE
Knuckle arm second axle ;25;-5400;1000;-150;0,2;1;0,2;0,2;1;0,2;0,2;1;0,2;FALSE;TRUE;TRUE
Frame second axle ;26;-5200;800;-100;0,7;1;0,7;0,2;1;0,2;0,2;1;0,2;FALSE;TRUE;TRUE
Tie rod second axle;27;-5400;800;0;0,2;1;0,2;0,2;1;0,2;0,2;1;0,2;FALSE;TRUE;TRUE
Angle sensor second axle;28;-5200;0;0;0,533333333;1;0,533333333;0,633333333;1;0,633333333;0,533333333;1;0,533333333;FALSE;TRUE;TRUE
Electric steering motor front axle ;29;500;700;100;0,766666667;1;0,766666667;0,766666667;1;0,766666667;0,7;1;0,7;FALSE;FALSE;TRUE
Electric steering motor second axle ;30;-4600;700;100;0,766666667;1;0,766666667;0,766666667;1;0,766666667;0,7;1;0,7;FALSE;FALSE;TRUE
Battery Box;31;-1000;0;300;0,533333333;1;0,533333333;0,7;1;0,7;0,833333333;1;0,833333333;FALSE;FALSE;TRUE
