ID;Name;Mechanical;Electromagnetic;Thermal;Comments;s1;s2;s3
R01;Wheel front axle  failure;0,6333333333333333;0,2;0,8;Sudden tire blowouts can lead to loss of steering control, potentially straining the hub, steering knuckle, and tie rod.;TRUE;TRUE;TRUE
R02;Hub front axle  failure;0,8;0,2;0,8;Bearing failure can result in increased friction and heat generation, potentially affecting the hub and other connected components.;TRUE;TRUE;TRUE
R03;Steering knuckle front axle failure;0,2;0,2;0,2;Cracking of the steering knuckle can weaken the axle assembly, potentially leading to a loss of steering control and damaging the hub and tie rod.;TRUE;TRUE;TRUE
R04;Knuckle arm front axle  failure;0,2;0,2;0,2;Bending of the knuckle arm can disrupt the steering geometry, affecting steering system performance and potentially causing excessive wear on the steering knuckle and tie rod.;TRUE;TRUE;TRUE
R05;Frame front axle  failure;0,7;0,2;0,2;Cracks in the frame can weaken the structural integrity of the entire front axle assembly, affecting all connected components and overall vehicle stability.;TRUE;TRUE;TRUE
R06;Tie rod front axle failure;0,2;0,2;0,2;Bending or breaking of the tie rod can lead to a loss of steering control, affecting wheel alignment and potentially damaging the steering knuckle and other components.;TRUE;TRUE;TRUE
R07;Angle sensor front axle failure;0,2;0,6333333333333333;0,5333333333333333;A malfunctioning angle sensor can lead to inaccurate steering data, potentially causing the ECU to make incorrect steering adjustments, impacting steering performance. Electromagnetic interference may affect sensor accuracy.;TRUE;TRUE;TRUE
R08;Speedometer failure;0,2;0,6333333333333333;0,5333333333333333;Speedometer malfunction doesn't directly impact steering but can affect the driver's ability to monitor vehicle speed, potentially leading to unsafe driving conditions. Electromagnetic interference may affect electronic components in the speedometer.;TRUE;TRUE;TRUE
R09;ECU failure;0,2;0,7000000000000001;0,6333333333333333;ECU malfunction can lead to incorrect steering commands, impacting steering performance and potentially straining other hydraulic system components. Electromagnetic fields may interfere with ECU operation.;TRUE;TRUE;TRUE
R10;Engine  failure;0,8666666666666667;0,5666666666666668;0,7000000000000001;Engine malfunctions can affect the hydraulic pump's performance, reducing hydraulic pressure and steering assistance. Electromagnetic fields may interfere with engine control systems.;TRUE;TRUE;TRUE
R11;Hydraulic oil reservoir failure;0,7000000000000001;0,2;0,4666666666666666;Oil leaks can reduce the efficiency of the hydraulic system, potentially leading to reduced steering control and increased load on the hydraulic pump and other components. Electromagnetic interference may affect seals and connections;TRUE;TRUE;FALSE
R12;Steering actuation cylinder front axle  failure;0,6333333333333333;0,2;0,4666666666666666;Fluid leaks can result in reduced hydraulic pressure, causing a loss of steering power and control. Electromagnetic interference may interfere with sensors or actuators in the hydraulic system.;TRUE;TRUE;FALSE
R13;Servo valve front axle  failure;0,7000000000000001;0,5666666666666668;0,6;Valve issues can result in erratic or delayed steering responses, affecting overall steering system performance and potentially straining the steering pump and hydraulic oil reservoir. Electromagnetic fields may interfere with valve operation.;TRUE;TRUE;FALSE
R14;Pump front axle  failure;0,6333333333333333;0,5;0,6;Pump malfunction can result in reduced hydraulic pressure, affecting steering performance and potentially straining other hydraulic components. Electromagnetic fields may interfere with pump operation.;TRUE;TRUE;FALSE
R15;Filter front axle  failure;0,4666666666666666;0,2;0,2;A clogged filter can reduce hydraulic flow, potentially leading to reduced steering power and increased load on the hydraulic pump and other components. Electromagnetic fields may affect filter performance.;TRUE;TRUE;FALSE
R16;Cooler front axle  failure;0,4666666666666666;0,2;0,5333333333333333;A malfunctioning cooler can result in overheating of the hydraulic fluid, potentially reducing system efficiency and impacting other hydraulic components' performance. Electromagnetic fields may affect heat exchanger performance.;TRUE;TRUE;FALSE
R17;Steering actuation cylinder second axle  failure;0,6333333333333333;0,2;0,4666666666666666;Fluid leaks can result in reduced hydraulic pressure, causing a loss of steering power and control. Electromagnetic interference may interfere with sensors or actuators in the hydraulic system.;FALSE;TRUE;FALSE
R18;Servo valve second axle  failure;0,7000000000000001;0,5666666666666668;0,6;Valve issues can result in erratic or delayed steering responses, affecting overall steering system performance and potentially straining the steering pump and hydraulic oil reservoir. Electromagnetic fields may interfere with valve operation.;FALSE;TRUE;FALSE
R19;Pump second axle  failure;0,6333333333333333;0,5;0,6;Pump malfunction can result in reduced hydraulic pressure, affecting steering performance and potentially straining other hydraulic components. Electromagnetic fields may interfere with pump operation.;FALSE;TRUE;FALSE
R20;Filter second axle  failure;0,2;0,2;0,2;A clogged filter can reduce hydraulic flow, potentially leading to reduced steering power and increased load on the hydraulic pump and other components. Electromagnetic fields may affect filter performance.;FALSE;TRUE;FALSE
R21;Cooler second axle  failure;0,2;0,2;0,5333333333333333;A malfunctioning cooler can result in overheating of the hydraulic fluid, potentially reducing system efficiency and impacting other hydraulic components' performance. Electromagnetic fields may affect heat exchanger performance.;FALSE;TRUE;FALSE
R22;Wheel second axle  failure;0,6333333333333333;0,2;0,8;Sudden tire blowouts can lead to loss of steering control, potentially straining the hub, steering knuckle, and tie rod.;FALSE;TRUE;TRUE
R23;Hub second axle  failure;0,8;0,2;0,8;Bearing failure can result in increased friction and heat generation, potentially affecting the hub and other connected components.;FALSE;TRUE;TRUE
R24;Steering knuckle second axle failure;0,2;0,2;0,2;Cracking of the steering knuckle can weaken the axle assembly, potentially leading to a loss of steering control and damaging the hub and tie rod.;FALSE;TRUE;TRUE
R25;Knuckle arm second axle  failure;0,2;0,2;0,2;Bending of the knuckle arm can disrupt the steering geometry, affecting steering system performance and potentially causing excessive wear on the steering knuckle and tie rod.;FALSE;TRUE;TRUE
R26;Frame second axle  failure;0,7;0,2;0,2;Cracks in the frame can weaken the structural integrity of the entire front axle assembly, affecting all connected components and overall vehicle stability.;FALSE;TRUE;TRUE
