"ELEMENT NAME","HIERARCHY ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26",
"Steering knuckle front axle","1"," ","0.03949417027839475","0.026243846378982805","0.018065177495752538","0.0022355797228731378","0.001344206682059923","0.0013232349762662965","0.03390102195413591","0.006857600971892475","0.004677028763518609","0.004397276054395216","0.007192338479583893","0.010403238579623442","0.0035300452302322594","0.0001640851027818746","0.00014821098711614855","0.00015186926880894625","0.10186735429007687","0.0001567748537729674","0.0009913133475643043","0.001698963140259857","0.0011367966506410365","0.00017059444567613102","0.00016824290681927145","0.00014010443839862496","0.00030433840579568994",
"Knuckle arm front axle","2","0.039283257172059605"," ","0.026727334688678828","0.03374613815077332","0.002271525352578574","0.0012180635309778642","0.0011740122094965333","0.0030670179928944385","0.0040296588057586735","0.003030313312592847","0.0034956542159688686","0.005216401013222516","0.0063114502995123","0.002444690864355392","0.00014739003479469215","0.00012874560885167696","0.00012793167868541122","0.00467880614286742","0.00014520103805837348","0.0001471031826544289","0.0001873837252981403","0.0001576979910286047","0.0001038443235346076","0.00011319657811781347","0.00010291542315510327","0.00010525263281679909",
"Frame front axle","3","0.024148287348300546","0.02666005388641879"," ","0.04151480535596741","0.0035692064753667374","0.0014530547163486007","0.0014067511978110847","0.008820523339800435","0.006803214262937618","0.005604791224719463","0.00693131458387386","0.011224061031841148","0.011982485185460523","0.004039637067867585","0.00014274690417637181","0.00012497312723702692","0.00012289019226141562","0.003664928572217563","0.0001386087885116849","0.0001339745819352034","0.0001675613026325129","0.00014445007188301773","0.00009992787772294953","0.00010894953395501616","0.00009931388986306189","0.00010081165951225657",
"Tie rod front axle","4","0.01669166174916603","0.03371753790350418","0.0417104138009301"," ","0.003364814445829256","0.001525628124793732","0.0014699166009615183","0.007021640235214455","0.004481679845253161","0.004003946392832636","0.004878876897085105","0.006717627292878503","0.007164771260056768","0.0028075700887526533","0.00015280426732300345","0.0001338563059055664","0.0001328677522708377","0.013267789026679244","0.00014928859539509176","0.0002241288955483478","0.00032392856673557624","0.0002485390887269068","0.00011219341442036956","0.0001207231672729625","0.00010838419672598576","0.00012527086447966518",
"Angle sensor front axle","5","0.0064182080424781685","0.007230541392704404","0.011429532470682902","0.01069184030447956"," ","0.00486305297461842","0.004689824211566607","0.019467091376011436","0.007508078759499659","0.0160434986241752","0.020781709679765115","0.012033338503034674","0.009278211951246895","0.0071622103639678025","0.0004034795079951303","0.00035274512181682205","0.0003415200986527367","0.002313199452724901","0.00038328104325691115","0.0003080356770219783","0.0003558103782305144","0.00033523531033508025","0.0002742474427123165","0.00030148301555865675","0.0002752626741563402","0.00027602302541396284",
"Speedometer","6","0.0038928838319571835","0.003855693835330354","0.004599227398660144","0.004815123157401957","0.00481593361739574"," ","0.6333513163249105","0.005017053791474435","0.005045343435066907","0.006042560579169853","0.005921840263533373","0.005756899027176909","0.005637078782484872","0.004629892028763072","0.0005884759899833503","0.0005185398417690834","0.0005075852854358187","0.0026176181714825386","0.0005638595721568773","0.00045472507162525044","0.0005148729583307476","0.0004867990434577196","0.00040601033431086897","0.00044452980749265514","0.00041115711679218236","0.0004043166163881784",
"ECU","7","0.004139709368050193","0.004091762066420146","0.004907655099370745","0.005115036658838723","0.0051151991791830165","0.7000147672023413"," ","0.005984304504725424","0.005417920630040207","0.006500403631813811","0.006341318343403013","0.006161673520391542","0.006035728255485484","0.004980277918949394","0.0006207488619239809","0.00054714786532295","0.0005357248892959854","0.003515680004046118","0.0005944635029390133","0.0004883398249613258","0.0005578505616521401","0.000524357816190868","0.0004299408970950269","0.0004702228495720995","0.00043466392093072237","0.00042828230561819947",
"Wheel front axle","8","0.004285213278901523","0.004190588358385483","0.00925326781454261","0.0072831006511596685","0.0016128758884905725","0.0031088893693768105","0.0038856593781271265"," ","0.008369886906234303","0.02808036113302903","0.0044110654178393105","0.005965501562850806","0.009329417283223784","0.010200505932651094","0.0002876244822006546","0.00025271065367094003","0.00013724476915177863","0.05066896979033386","0.00013943046557951533","0.0005486215698817798","0.0010067543244146604","0.0007230365485713097","0.00013397147693239297","0.00013601910596394706","0.0001157940041477401","0.00019188002137493498",
"Hydraulic oil reservoir","9","0.005923638813072563","0.004006504600399308","0.006904895407551459","0.004468595233478201","0.0023435099117272706","0.0015958473279460428","0.0015534962857319812","0.005731563935768458"," ","0.011366761832588113","0.009729744564191845","0.028587963147750584","0.05378810906595988","0.026850216497560697","0.0001183565407809617","0.00010471818272850264","0.00010374854559902502","0.00819656122571355","0.00011418506823268615","0.00015867193760510379","0.0002218034115630818","0.00017513475472119566","0.00008905356570776402","0.00009532483859697738","0.00008664274801173377","0.00009574202466078319",
"Steering actuation cylinder front axle","10","0.0034476394641775876","0.0029782513305607328","0.005460534613398349","0.003852004156710498","0.004923650029445725","0.0018970686542795212","0.001850934974542362","0.010428338466235476","0.011276069219996243"," ","0.051272639582926716","0.01957016517392207","0.011316117919503932","0.017631866657569772","0.00012405525158198927","0.00010939021201827881","0.0001064249725079014","0.00146792980307775","0.0001180043614303905","0.0001029208506035939","0.00012131792555036824","0.00011160491795636496","0.00008752440729031807","0.00009519350794273684","0.00008742836666986165","0.0000867124375070194",
"Servo valve front axle","11","0.011009254255841094","0.00985278117377042","0.019585775229034263","0.013674937678200938","0.0185359366985709","0.0053000688372090154","0.00514246450756084","0.009532573667323074","0.02738260271606019","0.14503274010034628"," ","0.06755180414310513","0.033787836731207554","0.02815228976686679","0.0003453239688753218","0.00030373868383992697","0.00029770613927204703","0.003481826526061327","0.00033145320448146887","0.00028322453464335595","0.00032978936115846125","0.0003054229594676716","0.00024362236905195456","0.0002655003831445457","0.00024343936756821005","0.00024057031756197222",
"Pump front axle","12","0.017339692280849417","0.013042193465332752","0.02836268187549562","0.016974165930124574","0.009468728148640193","0.004564313565030842","0.0044312380590116884","0.013469952405704588","0.07124371554965003","0.048920478705716475","0.05971296660670955"," ","0.1302048645433529","0.036562269328324626","0.0003195852921307196","0.00028208040688060265","0.0002789396737529204","0.02233514582658469","0.00030820669417852553","0.00042842073243198886","0.0006015336980336183","0.00047402126155904334","0.00023796023698152702","0.0002553927863955252","0.0002315420849301475","0.0002583033089809117",
"Filter front axle","13","0.010038732029131525","0.0062995952827239465","0.011976099485868863","0.007143896915283832","0.0028877879881972213","0.0017778617796043727","0.0017256597431699605","0.0038684490458053","0.05377690246245881","0.011330782369733727","0.011989467061857884","0.052236811579703724"," ","0.013479545460081455","0.0001311167922140033","0.00011550505487079032","0.00011414534202602855","0.002730614831342182","0.0001272793743151146","0.00012009280060099048","0.00014602035545951964","0.00012883059966906085","0.00009404050126871066","0.00010202875299325509","0.00009355297033619703","0.00009330512895411314",
"Cooler front axle","14","0.0031622353628188993","0.002430643299405233","0.00404796397776408","0.0027981253071249768","0.002213821439139285","0.0014571513750325504","0.0014196730422302295","0.0030589009590661353","0.02684319306014149","0.01762449036961522","0.009966257131474476","0.014642401761110313","0.01347668014543646"," ","0.0001029651810996457","0.00009108876214836137","0.0000899629705279903","0.003974278270944542","0.000098860250430155","0.0001118028833309026","0.00014569175623124764","0.00012232132291689624","0.00007624449673859779","0.0000820486461903247","0.00007506879279572942","0.00007806040130031722",
